ticker
A
AAPL
ABBV
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
AON
AOS
APA
APD
APH
APO
APTV
ARE
ARES
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBY
BDX
BF-B
BG
BIIB
BK
BKNG
BKR
BLDR
BLK
BMY
BR
BRK-B
BRO
BSX
BX
BXP
CAH
CAT
CBOE
CBRE
CCL
CDNS
CDW
CF
CHRW
CHTR
CNC
CNP
COF
COR
CPB
CPT
CRL
CVNA
GOOG
GOOGL
LNT
MMM
MO
SCHW
T
TECH
XYZ
C
CAG
CB
CCI
CFG
CHD
CI
CIEN
CINF
CL
CLX
CMCSA
CME
CMG
CMI
CMS
COHR
COO
COP
COST
CPAY
CPRT
CRH
CRWD
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CTVA
CVS
CVX
D
DAL
DD
DE
DECK
DELL
DG
DHI
DHR
DLR
DLTR
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EME
EMR
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
FANG
FAST
FDS
FDX
FFIV
FICO
FIS
FITB
FIX
FRT
GLW
KO
SATS
STZ
XOM
BEN
DOC
F
FCX
FE
FISV
FOX
FOXA
FSLR
FTNT
FTV
GD
GDDY
GE
GEN
GILD
GIS
GL
GM
GNRC
GPC
GPN
GRMN
GS
HAL
HAS
HBAN
HCA
HD
HIG
HII
HLT
HON
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBKR
IBM
ICE
IDXX
IEX
IFF
INCY
INTC
INTU
INVH
IP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JPM
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KR
L
LDOS
LEN
LH
LHX
LII
LIN
LITE
LLY
LMT
LOW
LRCX
LULU
LVS
LYB
LYV
MAR
MPC
MTB
PODD
DGX
MA
MAA
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MKC
MLM
MNST
MOS
MPWR
MRK
MRNA
MRSH
MS
MSCI
MSFT
MSI
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NI
NKE
NOC
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OXY
PANW
PAYX
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PM
PNC
PNR
PNW
POOL
PPG
PPL
PRU
PSA
PSKY
PSX
PTC
PWR
PYPL
QCOM
REG
REGN
RF
RJF
RL
RMD
ROK
ROL
ROP
RSG
RTX
RVTY
TAP
CRM
DIS
GWW
LUV
NOW
RCL
ROST
SBAC
SBUX
SHW
SJM
SLB
SMCI
SNA
SNPS
SO
SPG
SPGI
SRE
STE
STLD
STT
STX
SW
SWK
SWKS
SYF
SYK
SYY
TDG
TDY
TEL
TER
TFC
TGT
TJX
TKO
TMO
TMUS
TPL
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTD
TTWO
TXN
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VICI
VLO
VMC
VRSK
VRSN
VRT
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBD
WDAY
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WSM
WST
WTW
WY
WYNN
XEL
XYL
YUM
ZBRA
ZBH
ZTS
