feature
mom1m
mom3m
mom6m
mom12m
vol1m
vol3m
vol6m
vol12m
turn1m
turn3m
near52h
above_ma3
above_ma6
above_ma12
hl_spread
ret_skew3m
max_dd3m
rs3m
rs6m
rs12m
